!SIL    SIL
पुनर्निरीक्षण	p u n a r n i r ii k sx a nx
पुनर्निर्माण	p u n a r n i r m aa nx
पुनर्भरण	p u n a r bh a r a nx
पुनर्मन	p u n a r m a n
पुनर्रचना	p u n a r r a c n aa
पुनर्वा	p u n a r w aa
पुनर्वास	p u n a r w aa s
पुनर्विकास	p u n a r w i k aa s
पुनर्विचार	p u n a r w i c aa r
पुनर्वितरण	p u n a r w i t r a nx
पुनर्वित्तीयन	p u n a r w i t t ii y a n
पुनर्व्याख्या	p u n a r w y aa kh y aa
पुनर्स्थापना	p u n a r s th aa p n aa
पुनर्स्थापित	p u n a r s th aa p i t
पुनह	p u n a h
पुनहता	p u n h t aa
पुना	p u n aa
पुनार	p u n aa r
पुनाराघाट	p u n aa r aa gh aa tx
पुनिया	p u n i y aa
पुनीत	p u n ii t
पुने	p u n ee
पुनेन्द्र	p u n ee n d r
पुन्जीवाले	p u n j ii w aa l ee
पुन्यार्ध	p u n y aa r dh
पुन्ह	p u n h
पुपुल	p u p u l
पुब्लिकों	p u b l i k o q
पुम्पों	p u m p o q
पुर	p u r
पुरखों	p u r kh o q
पुरगीला	p u r a g ii l aa
पुरजोर	p u r j o r
पुरज़ोर	p u r a z o r
पुरण	p u r a nx
पुरंदर	p u r a q d a r
पुरबी	p u r a b ii
पुरम	p u r a m
पुरलिया	p u r a l i y aa
पुरवईया	p u r w ii y aa
पुरवा	p u r a w aa
पुरवारी	p u r a w aa r ii
पुरविस	p u r a w i s
पुरवैया	p u r a w ei y aa
पुरष्कार	p u r a sx k aa r
पुरस्कार	p u r a s k aa r
पुरस्कारपुरस्कार	p u r a s k aa r p u r a s k aa r
पुरस्कारहिंदी	p u r a s k aa r h i q d ii
पुरस्कारों	p u r a s k aa r o q
पुरस्कृत	p u r a s k rq t
पुरहुल	p u r a h u l
पुरा	p u r aa
पुराण	p u r aa nx
पुराणो	p u r aa nx o
पुराणों	p u r aa nx o q
पुरातत्बिक	p u r aa t a t b i k
पुरातत्व	p u r aa t a t w
पुरातत्वविद	p u r aa t a t w a w i d
पुरातन	p u r aa t a n
पुरातात्विक	p u r aa t aa t w i k
पुरान	p u r aa n
पुराना	p u r aa n aa
पुरानि	p u r aa n i
पुरानी	p u r aa n ii
पुराने	p u r aa n ee
पुरापाषाण	p u r aa p aa sx aa nx
पुरापाषाणमध्य	p u r aa p aa sx aa nx m a dh y
पुराव	p u r aa w
पुरासर	p u r aa s a r
पुरास्थल	p u r aa s th a l
पुरिया	p u r i y aa
पुरी	p u r ii
पुरुलिया	p u r u l i y aa
पुरुष	p u r u sx
पुरुषत्व	p u r u sx a t w
पुरुषवादी	p u r u sx a w aa d ii
पुरुषार्थ	p u r u sx aa r th
पुरुषो	p u r u sx o
पुरुषों	p u r u sx o q
पुरुषोंके	p u r u sx o q k ee
पुरुषोत्तम	p u r u sx o t t a m
पुरुष्कार	p u r u sx k aa r
पुरुस्कार	p u r u s k aa r
पुरुस्कृत	p u r u s k rq t
पुरूश	p u r uu sh
पुरूष	p u r uu sx
पुरूषोत्तम	p u r uu sx o t t a m
पुरूस्कार	p u r uu s k aa r
पुरे	p u r ee
पुरेनी	p u r ee n ii
पुरोत्साहन	p u r o t s aa h a n
पुरोहित	p u r o h i t
पुरोही	p u r o h ii
पुर्गत	p u r g a t
पुर्ण	p u r nx
पुर्णतः	p u r nx a t a hq
पुर्णिमा	p u r nx i m aa
पुर्णिया	p u r nx i y aa
पुर्तगाल	p u r t a g aa l
पुर्तगालके	p u r t a g aa l k ee
पुर्तगालियो	p u r t a g aa l i y o
पुर्तगालियों	p u r t a g aa l i y o q
पुर्तगाली	p u r t a g aa l ii
पुर्ति	p u r t i
पुर्ननिरिक्षण	p u r n n i r i k sx a nx
पुर्ननिर्माण	p u r n a n i r m aa nx
पुर्नरुपेना	p u r n a r u p ee n aa
पुर्नवत	p u r n a w a t
पुर्नवास	p u r n a w aa s
पुर्निमातक	p u r n i m aa t a k
पुर्बे	p u r b ee
पुर्व	p u r w
पुर्वज	p u r w a j
पुर्वर्था	p u r w a r th aa
पुर्वल्मुख	p u r w a l m u kh
पुर्वहन	p u r w a h a n
पुर्वान	p u r w aa n
पुर्वानुमान	p u r w aa n u m aa n
पुर्वार्री	p u r w aa r r ii
पुर्वी	p u r w ii
पुर्वोत्तर	p u r w o t t a r
पुर्षित	p u r sx i t
पुल	p u l
पुलकित	p u l k i t
पुलघर	p u l gh a r
पुलट	p u l a tx
पुलमेदु	p u l m ee d u
पुललस	p u l l a s
पुलवामा	p u l w aa m aa
पुलवी	p u l w ii
पुलाव	p u l aa w
पुलिंग	p u l i q g
पुलिंदा	p u l i q d aa
पुलिया	p u l i y aa
पुलिवालों	p u l i w aa l o q
पुलिस	p u l i s
पुलिसकर्मियों	p u l i s k a r m i y o q
पुलिसकर्मी	p u l i s k a r m ii
पुलिसने	p u l i s n ee
पुलिसवाला	p u l i s w aa l aa
पुलिसवाले	p u l i s w aa l ee
पुलिसवालों	p u l i s w aa l o q 
पुलिसिंग	p u l i s i q g
पुलिसिया	p u l i s i y aa
पुली	p u l ii
पुले	p u l ee
पुलों	p u l o q
पुल्टा	p u l tx aa
पुल्लताना	p u l l a t aa n aa
पुल्लिंग	p u l l i q g
पुवाल	p u w aa l
पुश	p u sh
पुशअप	p u sh a p
पुष्कर	p u sx k a r
पुष्करना	p u sx k a r n aa
पुष्कराज	p u sx k a r aa j
पुष्ट	p u sx tx
पुष्टि	p u sx tx i
पुष्प	p u sx p
पुष्पक्रम	p u sx p a k r a m
पुष्पा	p u sx p aa
पुष्पांजलि	p u sx p aa q j a l i
पुष्पादेवी	p u sx p aa d ee w ii
पुष्पों	p u sx p o q
पुसा	p u s aa
पुसुकर	p u s u k a r
पुस्तक	p u s t a k
पुस्तकालय	p u s t a k aa l a y
पुस्तके	p u s t a k ee
पुस्तकें	p u s t a k ee q
पुस्तकों	p u s t a k o q
पुस्तिका	p u s t i k aa
पुस्तिकाए	p u s t i k aa ee
पुस्तिकाओ	p u s t i k aa o
पुस्तिकाओं	p u s t i k aa o q
पुहाल	p u h aa l
पू	p uu
पूकर	p uu k a r
पूछ	p uu ch
पूंछ	p uu q ch
पूछकर	p uu ch k a r
पूछता	p uu ch t aa
पूछताछ	p uu ch t aa ch
पूछती	p uu ch t ii
पूछते	p uu ch t ee
पूछना	p uu ch n aa
पूंछना	p uu q ch a n aa
पूछने	p uu ch n ee
पूछा	p uu ch aa
पूंछा	p uu q ch aa
पूछिए	p uu ch i ee
पूछिये	p uu ch i y ee
पूछी	p uu ch ii
पूछूगा	p uu ch uu g aa
पूछूंगा	p uu ch uu q g aa
पूछे	p uu ch ee
पूछें	p uu ch ee q
पूछेगा	p uu ch ee g aa
पूछेंगे	p uu ch ee q g ee
पूछो	p uu ch o
पूछोगे	p uu ch o g ee
पूजते	p uu j t ee
पूजन	p uu j a n
पूजनीय	p uu j a n ii y
पूजा	p uu j aa
पूजापाठ	p uu j aa p aa txh
पूजिये	p uu j i y ee
पूँजी	p uu mq j ii
पूंजी	p uu q j ii
पूँजीपति	p uu mq j ii p t i
पूंजीपति	p uu q j ii p t i
पूंजीपतियों	p uu q j ii p t i y o q
पूँजीवाद	p uu mq j ii w aa d
पूंजीवाद	p uu q j ii w aa d
पूजे	p uu j ee
पूजोत्सव	p uu j o t s a w
पूज्य	p uu j y
पूज्यम	p uu j y a m
पूड़ी	p uu dxq ii
पूतमासामी	p uu t m aa s aa m ii
पून	p uu n
पूनम	p uu n a m
पूना	p uu n aa
पूनावाला	p uu n aa w aa l aa
पूभरपुरा	p uu bh a r p u r aa
पूरक	p uu r a k
पूरण	p uu r a nx
पूरणयोग्य	p uu r nx a y o g y
पूरब	p uu r a b
पूरहेंगी	p uu r h ee q g ii
पूरा	p uu r aa
पूराना	p uu r aa n aa
पूरापाषाण	p uu r aa p aa sx aa nx
पूरिा	p uu r i aa
पूरिे	p uu r i ee
पूरी	p uu r ii
पूरीमांग	p uu r ii m aa q g
पूरे	p uu r ee
पूर्ण	p uu r nx
पूर्णकालिक	p uu r nx a k aa l i k
पूर्णकालीक	p uu r nx a k aa l ii k
पूर्णत	p uu r nx a t
पूर्णतः	p uu r nx a t a hq
पूर्णतया	p uu r nx a t y aa
पूर्णता	p uu r nx a t aa
पूर्णरुपेन	p uu r nx a r u p ee n
पूर्णरूप	p uu r nx a r uu p
पूर्णरूपेण	p uu r nx a r uu p ee nx
पूर्णवास	p uu r nx a w aa s
पूर्णा	p uu r nx aa
पूर्णाहुति	p uu r nx aa h u t i
पूर्णिमा	p uu r nx i m aa
पूर्णिया	p uu r nx i y aa
पूर्ति	p uu r t i
पूर्ती	p uu r t ii
पूर्व	p uu r w
पूर्वक	p uu r w a k
पूर्वके	p uu r w a k ee
पूर्वगरेकी	p uu r w a g a r ee k ii
पूर्वग्रह	p uu r w a g r a h
पूर्वज	p uu r w a j
पूर्वजो	p uu r w a j o
पूर्वजों	p uu r w a j o q
पूर्वत	p uu r w a t
पूर्वधा	p uu r w a dh aa
पूर्वनियोजित	p uu r w a n i y o j i t
पूर्वपत्रक	p uu r w a p a t r a k
पूर्वमंत्री	p uu r w a m a q t r ii
पूर्वर्ती	p uu r w a r t ii
पूर्ववर्ती	p uu r w a w a r t ii
पूर्वा	p uu r w aa
पूर्वाग्रह	p uu r w aa g r a h
पूर्वानुमान	p uu r w aa n u m aa n
पूर्वापर	p uu r w aa p a r
पूर्वाभिमुख	p uu r w aa bh i m u kh
पूर्वाभ्यास	p uu r w aa bh y aa s
पूर्वाहन	p uu r w aa h a n
पूर्वी	p uu r w ii
पूर्वीचम्पारण	p uu r w ii c a m p aa r a nx
पूर्वे	p uu r w ee
पूर्वो	p uu r w o
पूर्वोक्त	p uu r w o k t
पूर्वोत्तर	p uu r w o t t a r
पूल	p uu l
पूलिंग	p uu l i q g
पूलिया	p uu l i y aa
पूवर्च	p uu w a r c
पूवार्भिमुख	p uu w aa r bh i m u kh
पूस	p uu s
पूसा	p uu s aa
पृत्री	p rq t r ii
पृथक	p rq th a k
पृथक्करण	p rq th a k k r a nx
पृथक्कीकरण	p rq th a k k ii k r a nx
पृथु	p rq th u
पृथ्वी	p rq th w ii
पृथ्वीनाथ	p rq th w ii n aa th
पृथ्वीराज	p rq th w ii r aa j
पृवी	p rq w ii
पृष्ठ	p rq sx txh
पृष्ठभूमि	p rq sx txh a bh uu m i
पृष्ठभूमी	p rq sx txh a bh uu m ii
पे	p ee
पेअनोक्स	p ee a n o k s
पेंक	p ee q k
पेंक्रियाज	p ee q k r i y aa j
पेंग	p ee q g
पेच	p ee c
पेंच	p ee q c
पेचप	p ee c a p
पेचिश	p ee c i sh
पेचिस	p ee c i s
पेचीदगियों	p ee c ii d g i y o q
पेचीदा	p ee c ii d aa
पेंचों	p ee q c o q
पेज	p ee j
पेजल	p ee j a l
पेजिन	p ee j i n
पेट	p ee tx
पेंट	p ee q tx
पेटदर्द	p ee tx d a r d
पेटन	p ee tx a n
पेंटर	p ee q tx a r
पेटरवार	p ee tx r a w aa r
पेंटहाउस	p ee q tx a h aa u s
पेंटागन	p ee q tx aa g a n
पेंटावैलेंट	p ee q tx aa w ei l ee q tx
पेटिक	p ee tx i k
पेटिकोट	p ee tx i k o tx
पेंटिंग	p ee q tx i q g
पेटिया	p ee tx i y aa
पेटियां	p ee tx i y aa q
पेटियों	p ee tx i y o q
पेटिसन	p ee tx i s a n
पेटी	p ee tx ii
पेटीएम	p ee tx ii ee m
पेटीकोट	p ee tx ii k o tx
पेटुपन	p ee tx u p a n
पेटेंट	p ee tx ee q tx
पेटो	p ee tx o
पेट्रन	p ee tx r a n
पेट्रोल	p ee tx r o l
पेट्रोलिंग	p ee tx r o l i q g
पेट्रोलियम	p ee tx r o l i y a m
पेड	p ee dx
पेड़	p ee dxq
पेड़	p ee dxq
पेडणेकरइन	p ee dx nx ee k r i n
पेडनेकर	p ee dx n ee k a r
पेड़मोनसासनिया	p ee dxq m o n s aa s n i y aa
पेंडिंग	p ee q dx i q g
पेंडुलम	p ee q dx u l a m 
पेड़ू	p ee dxq uu
पेंडेंट	p ee q dx ee q tx
पेड़ो	p ee dxq o
पेड़ों	p ee dxq o q
पेड़ों	p ee dxq o q
पेतालिस	p ee t aa l i s
पेंतालिस	p ee q t aa l i s
पेंतालिस्वा	p ee q t aa l i s w aa
पेंतीस	p ee q t ii s
पेदलों	p ee d a l o q
पेंद्र	p ee q d r
पेन	p ee n
पेनड्राइव	p ee n a dx r aa i w
पेनतालिस	p ee n t aa l i s
पेनल्टी	p ee n a l tx ii
पेनल्स	p ee n a l s
पेनसुल	p ee n s u l
पेनाल्टी	p ee n aa l tx ii
पेनिनसुला	p ee n i n s u l aa
पेनेल्टी	p ee n ee l tx ii
पेन्तालिस	p ee n t aa l i s
पेन्तीस	p ee n t ii s
पेन्द्रा	p ee n d r aa
पेपर	p ee p a r
पेपरलेस	p ee p a r a l ee s
पेपरी	p ee p r ii
पेपरों	p ee p a r o q
पेपर्स	p ee p a r s
पेपल	p ee p a l
पेपलस	p ee p l a s
पेपाल	p ee p aa l
पेपे	p ee p ee
पेप्टाइड	p ee p tx aa i dx
पेप्सिको	p ee p s i k o
पेप्सी	p ee p s ii
पेबल	p ee b a l
पेबलो	p ee b l o
पेम	p ee m
पेमेंट	p ee m ee q tx
पेमेन्ट	p ee m ee n tx
पेय	p ee y
पेयजल	p ee y j a l
पेयों	p ee y o q
पेरसेंट	p ee r s ee q tx
पेरा	p ee r aa
पेराएथलीट	p ee r aa ee th l ii tx
पेराथेलेट	p ee r aa th ee l ee tx
पेरामीटर	p ee r aa m ii tx a r
पेरियार	p ee r i y aa r
पेरिश	p ee r i sh
पेरिस	p ee r i s
पेरेज	p ee r ee j
पेरेंट्स	p ee r ee q tx s
पेरेंस	p ee r ee q s
